stage_id,cluster_code,district,real_spot,wizarding_alias,wizarding_zone,canon_ref,recommended_threads,tags,lat,lng,safe_only,story_hook,npc_hint
stage_njd_01,njd,黄浦,南京东路步行街,破釜酒吧正门,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.235081,121.480105,True,「南京东路步行街·破釜酒吧正门」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_02,njd,黄浦,第一百货,奥利凡德魔杖店,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.235036,121.482097,True,「第一百货·奥利凡德魔杖店」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_03,njd,黄浦,世茂广场,丽痕书店,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.234937,121.47823,True,「世茂广场·丽痕书店」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_04,njd,黄浦,置地广场,摩金夫人长袍店,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.236441,121.479789,True,「置地广场·摩金夫人长袍店」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_05,njd,黄浦,南京东路地铁站,韦斯莱把戏坊,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.233315,121.479831,True,「南京东路地铁站·韦斯莱把戏坊」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_06,njd,黄浦,四川中路口,咿啦猫头鹰店,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.236468,121.482002,True,「四川中路口·咿啦猫头鹰店」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_07,njd,黄浦,河南中路口,斯拉格与吉格斯药房,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|healing|lanes|order|paper|seal|secret|security|trade,31.233486,121.481802,True,「河南中路口·斯拉格与吉格斯药房」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_08,njd,黄浦,福州路书店街,神奇动物橱窗,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|paper|seal|trade,31.236631,121.478198,True,「福州路书店街·神奇动物橱窗」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_09,njd,黄浦,江西中路口,预言家日报摊,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,books|clue|lanes|order|paper|seal|signal|trade,31.233306,121.478093,True,「江西中路口·预言家日报摊」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_njd_10,njd,黄浦,外滩口（南京东路）,古灵阁咨询台,对角巷主街,Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_gringotts_audit,audit|bank|books|clue|finance|lanes|paper|seal|security|trade,31.234919,121.483488,True,「外滩口（南京东路）·古灵阁咨询台」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_bund,bund,黄浦,外滩观光平台,魔法部东办门厅,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.240117,121.489842,True,魔法部加强封锁后，「外滩观光平台·魔法部东办门厅」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_02,bund,黄浦,和平饭店,法律执行司值班,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.240135,121.491749,True,魔法部加强封锁后，「和平饭店·法律执行司值班」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_03,bund,黄浦,外白渡桥,神秘事务司镜厅,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.240108,121.487945,True,魔法部加强封锁后，「外白渡桥·神秘事务司镜厅」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_04,bund,黄浦,外滩源,威森加摩分庭,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.241613,121.489789,True,魔法部加强封锁后，「外滩源·威森加摩分庭」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_05,bund,黄浦,海关大楼,魔法事故与灾害司,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.238252,121.490084,True,魔法部加强封锁后，「海关大楼·魔法事故与灾害司」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_06,bund,黄浦,黄浦江游船码头,记忆注销处,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.241631,121.491939,True,魔法部加强封锁后，「黄浦江游船码头·记忆注销处」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_07,bund,黄浦,中山东一路,禁言令公告墙,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.238288,121.491823,True,魔法部加强封锁后，「中山东一路·禁言令公告墙」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_08,bund,黄浦,罗斯福公馆,国际合作司会客,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.241577,121.48824,True,魔法部加强封锁后，「罗斯福公馆·国际合作司会客」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_09,bund,黄浦,汇丰大楼,预言家部委记者席,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|clue|ministry|order|paper|security|signal|waterfront,31.23855,121.488198,True,魔法部加强封锁后，「汇丰大楼·预言家部委记者席」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_bund_10,bund,黄浦,观光隧道口（外滩）,守护咒巡逻线,魔法部东方办事处,Ministry of Magic,thread_ministry_lockdown|thread_floo_fracture,audit|authority|ministry|order|paper|security|waterfront,31.239874,121.493372,True,魔法部加强封锁后，「观光隧道口（外滩）·守护咒巡逻线」成了执法与舆论的交汇处；一条新禁令正在生效，错一步就会被记入档案。,傲罗/执法司文书官/预言家记者（高压、程序化口吻）
stage_yuyuan,yuyuan,黄浦,豫园,翻倒巷博金-博克,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.226928,121.491926,False,在「豫园·翻倒巷博金-博克」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_02,yuyuan,黄浦,城隍庙,黑魔法器具铺,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.226973,121.493875,False,在「城隍庙·黑魔法器具铺」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_03,yuyuan,黄浦,豫园商城,诅咒修补匠,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.227054,121.490125,False,在「豫园商城·诅咒修补匠」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_04,yuyuan,黄浦,九曲桥,伪造印章作坊,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.228586,121.49181,False,在「九曲桥·伪造印章作坊」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_05,yuyuan,黄浦,方浜中路,暗市交换所,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.225477,121.491958,False,在「方浜中路·暗市交换所」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_06,yuyuan,黄浦,福佑路口,禁书摊夜读角,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.228631,121.493991,False,在「福佑路口·禁书摊夜读角」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_07,yuyuan,黄浦,豫园地铁站,失落门钥匙仓,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|clue|forgery|hub|lanes|occlusion|order|portal|risk|secret|security|signal|trade|transport,31.225441,121.493707,False,在「豫园地铁站·失落门钥匙仓」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_08,yuyuan,黄浦,小南门口,隐形墨水柜台,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.228748,121.490104,False,在「小南门口·隐形墨水柜台」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_09,yuyuan,黄浦,十六铺码头,走私暗号墙,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.225423,121.49004,False,在「十六铺码头·走私暗号墙」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_yuyuan_10,yuyuan,黄浦,老城厢街口,摄魂怪谣言角,翻倒巷/暗市,Knockturn Alley,thread_knockturn_smuggling|thread_floo_fracture,black_market|forgery|lanes|occlusion|risk|secret|signal|trade,31.226982,121.495255,False,在「老城厢街口·摄魂怪谣言角」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_xintiandi,xintiandi,黄浦,新天地,对角巷南里,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.22031,121.47521,True,「新天地·对角巷南里」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_02,xintiandi,黄浦,太平桥公园,破釜酒吧后门,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.220427,121.477138,True,「太平桥公园·破釜酒吧后门」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_03,xintiandi,黄浦,马当路口,凤凰社茶会点,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|creature|lanes|mystery|occlusion|order|risk|ritual|secret|signal|trade,31.220328,121.473293,False,「马当路口·凤凰社茶会点」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_04,xintiandi,黄浦,香港广场,变身术沙龙,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.222139,121.475295,True,「香港广场·变身术沙龙」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_05,xintiandi,黄浦,一大会址旁,记忆酒吧,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.218959,121.4754,True,「一大会址旁·记忆酒吧」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_06,xintiandi,黄浦,瑞金二路口,隐形斗篷寄存处,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.222202,121.477349,True,「瑞金二路口·隐形斗篷寄存处」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_07,xintiandi,黄浦,复兴公园口,双面镜联络台,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.21876,121.477391,True,「复兴公园口·双面镜联络台」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_08,xintiandi,黄浦,南里广场,福灵剂小赌局,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.221932,121.473388,True,「南里广场·福灵剂小赌局」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_09,xintiandi,黄浦,北里广场,护身符交换桌,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|ritual|seal|secret|signal|trade,31.218895,121.473599,True,「北里广场·护身符交换桌」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_xintiandi_10,xintiandi,黄浦,淮海中路口（新天地）,夜巡暗号处,对角巷南里/破釜后门,Leaky Cauldron / Diagon Alley,thread_floo_fracture|thread_knockturn_smuggling|thread_hogwarts_field,clue|lanes|order|secret|signal|trade,31.220535,121.478834,True,「淮海中路口（新天地）·夜巡暗号处」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_01,huaihai,黄浦/徐汇,淮海中路,预言家日报编辑部,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|signal|trade,31.21809,121.465789,True,「淮海中路·预言家日报编辑部」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_02,huaihai,黄浦/徐汇,K11购物艺术中心,摩金夫人高定室,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|trade,31.218117,121.468075,True,「K11购物艺术中心·摩金夫人高定室」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_03,huaihai,黄浦/徐汇,iapm环贸,魔法界画廊会客,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|trade,31.217892,121.464072,True,「iapm环贸·魔法界画廊会客」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_04,huaihai,黄浦/徐汇,陕西南路口,古灵阁贵宾咨询,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|bank|clue|finance|order|paper|seal|security|trade,31.219721,121.466,True,「陕西南路口·古灵阁贵宾咨询」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_05,huaihai,黄浦/徐汇,上海图书馆,魔药调香馆,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|trade,31.21655,121.465905,True,「上海图书馆·魔药调香馆」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_06,huaihai,黄浦/徐汇,思南公馆,禁书阅览室,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|black_market|clue|forgery|lanes|occlusion|order|paper|risk|seal|secret|signal|trade,31.219523,121.467696,False,「思南公馆·禁书阅览室」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_07,huaihai,黄浦/徐汇,瑞金医院,魔法部公关处,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|authority|clue|ministry|order|paper|seal|security|trade,31.216495,121.467844,True,「瑞金医院·魔法部公关处」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_08,huaihai,黄浦/徐汇,复兴中路口,时间转换器展柜,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|trade,31.219757,121.464199,True,「复兴中路口·时间转换器展柜」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_09,huaihai,黄浦/徐汇,茂名南路口,巫师电台播音间,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|clue|order|paper|seal|signal|trade,31.21627,121.463893,True,「茂名南路口·巫师电台播音间」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_huaihai_10,huaihai,黄浦/徐汇,巨鹿路口,麻瓜研究伪装间,预言家日报/摩金高定,Daily Prophet / Madam Malkin,thread_ministry_lockdown|thread_gringotts_audit|thread_hogwarts_field,audit|books|clue|order|paper|school|seal|secret|trade,31.218063,121.469276,True,「巨鹿路口·麻瓜研究伪装间」像是对角巷在沪的投影点：有人用可疑封印换取情报与道具，真伪与代价都写在细节里。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_tianzifang_01,tianzifang,黄浦,田子坊,猫头鹰邮局分拣间,猫头鹰邮局/符文巷,Owl Post / Rune Craft,thread_hogwarts_field|thread_floo_fracture|thread_knockturn_smuggling,clue|forgery|lanes|paper|secret|signal|trade,31.210135,121.465874,False,在「田子坊·猫头鹰邮局分拣间」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_tianzifang_02,tianzifang,黄浦,泰康路口,咿啦猫头鹰寄养处,猫头鹰邮局/符文巷,Owl Post / Rune Craft,thread_hogwarts_field|thread_floo_fracture|thread_knockturn_smuggling,clue|forgery|lanes|paper|secret|signal|trade,31.210045,121.467928,False,在「泰康路口·咿啦猫头鹰寄养处」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
stage_tianzifang_03,tianzifang,黄浦,打浦桥口,符文刻印摊,猫头鹰邮局/符文巷,Owl Post / Rune Craft,thread_hogwarts_field|thread_floo_fracture|thread_knockturn_smuggling,clue|forgery|lanes|order|paper|ritual|seal|secret|signal|trade,31.20982,121.463988,False,在「打浦桥口·符文刻印摊」的阴影里，翻倒巷式的交易与伪造正在扩散；找到那枚有瑕疵的印记，才能追到走私源头。,暗市掮客/伪造师/走私联络员（低语、暗号、避实就虚）
